Misspelling,RealWord,pyspellchecker_correction,textblob_correction,aspell_correction,bert_correction
Austrailia,Australia,australia,Australia,Australia,latin
Carribean,Caribbean,,Carribean,Caribbean,english
Checkoslovakia,Czechoslovakia,,Checkoslovakia,Slovakia,[UNK]
Conneticut,Connecticut,,Connecticut,Connecticut,english
Euclidian,Euclidean,Euclidian,Euclidian,Euclidean,greek
Febewary,February,,Febewary,February,[UNK]
Kwanza,Kwanzaa,Kwanza,Stanza,Kwanzaa,[UNK]
Parmisian,Parmesan,partisan,Parisian,Parisian,[UNK]
Presbaterian,Presbyterian,presbyterian,Presbaterian,Presbyterian,english
Tootonic,Teutonic,tectonic,Tootonic,Teutonic,missing
Tusday,Tuesday,today,Sunday,Tuesday,[UNK]
Wendsday,Wednesday,,Wendsday,Wends day,[UNK]
Wisconson,Wisconsin,,Wisconsin,Wisconsin,[UNK]
abanden,abandon,abandon,abandon,abandon,[UNK]
abiss,abyss,abyss,amiss,abyss,ab
abizmal,abysmal,animal,animal,abysmal,[UNK]
abriviate,abbreviate,abbreviate,abriviate,abbreviate,omitted
abscound,abscond,abscond,abound,abscond,omitted
absorbant,absorbent,absorbant,absorbent,absorbent,[UNK]
absorbtion,absorption,absorption,absorption,absorption,omitted
abstanence,abstinence,abstinence,abstanence,abstinence,[UNK]
abundence,abundance,abundance,abundance,abundance,omitted
abundent,abundant,abundant,abundant,abundant,omitted
acatemy,academy,academy,academy,academy,[UNK]
acceptence,acceptance,acceptance,acceptance,acceptance,unknown
acceptible,acceptable,acceptable,acceptable,acceptable,unknown
acceptibly,acceptably,acceptably,acceptable,acceptably,missing
accessable,accessible,accessible,accessible,accessible,used
accessment,assessment,assessment,assessment,assessment,access
accidently,accidentally,accidently,accidently,accidental,missing
accomadate,accommodate,accommodate,accommodate,accommodate,unknown
accomodate,accommodate,accommodate,accommodate,accommodate,unknown
accross,across,across,across,across,[UNK]
accually,actually,actually,actually,actually,[UNK]
acheeve,achieve,achieve,achieve,achieve,[UNK]
acknowledgement,acknowledgment,acknowledgement,acknowledgment,acknowledgement,acknowledge
acommodate,accommodate,accommodate,accommodate,accommodate,correct
acoostic,acoustic,acoustic,acoostic,acoustic,correct
acordian,accordion,accordion,cordial,accordion,latin
acqueus,aqueous,aqueous,jacques,aqueous,latin
acquiess,acquiesce,acquires,acquiesce,acquiesce,correct
acrost,across,across,across,accost,[UNK]
acryllic,acrylic,acrylic,acryllic,acrylic,used
acter,actor,after,after,acuter,r
adament,adamant,adamant,adamant,adamant,adam
adaquit,adequate,acquit,adaquit,acquit,[UNK]
adew,adieu,dew,dew,dew,[UNK]
adheasive,adhesive,adhesive,adhesive,adhesive,unknown
adjacancy,adjacency,adjacency,adjacancy,adjacency,[UNK]
adjasant,adjacent,adjacent,adjutant,adjacent,omitted
adjatate,agitate,,adjatate,adjutant,[UNK]
adjative,adjective,adoptive,adjective,adaptive,[UNK]
adolecent,adolescent,adolescent,adolescent,adolescent,correct
adventagous,advantageous,adventurous,advantageous,advantageous,[UNK]
advesary,adversary,adversary,adversary,adversary,[UNK]
afficianado,aficionado,aficionado,afficianado,aficionado,used
afterwords,afterwards,afterwords,afterwards,afterwords,used
aggenst,against,against,against,against,[UNK]
aggrivate,aggravate,aggravate,aggravate,aggravate,[UNK]
agrandize,aggrandize,aggrandize,agrandize,aggrandise,[UNK]
agressive,aggressive,aggressive,aggressive,aggressive,not
ahmond,almond,almond,almond,almond,ah
air,heir,air,air,air,air
airloom,heirloom,airlock,airloom,air loom,air
airator,aerator,aerator,orator,aerator,unknown
airial,aerial,aerial,aerial,aerial,unknown
ajative,adjective,amative,active,active,[UNK]
ajurnment,adjournment,adjournment,adjournment,adjournment,[UNK]
ajustment,adjustment,adjustment,adjustment,adjustment,omitted
ake,ache,are,are,AK,[UNK]
alcemy,alchemy,alchemy,alley,alchemy,english
alegance,allegiance,elegance,elegance,elegance,e
aleged,alleged,alleged,alleged,alleged,[UNK]
algee,algae,algae,alone,Alger,[UNK]
aline,align,aline,aline,Aline,l
alledge,allege,allege,allege,allege,zero
allegence,allegiance,allegiance,allegiance,allegiance,not
allowence,allowance,allowance,allowance,allowance,[UNK]
allready,already,already,already,already,correct
allright,allright,alright,alright,alright,right
amalgum,amalgam,amalgam,amalgam,amalgam,[UNK]
amatuer,amateur,amateur,amateur,amateur,[UNK]
amatur,amateur,amateur,amateur,amateur,[UNK]
ambadexterous,ambidextrous,ambidextrous,ambadexterous,ambidextrous,[UNK]
amealearate,ameliorate,,amealearate,ameliorate,[UNK]
ameba,amoeba,ameba,area,amoeba,[UNK]
ampatheater,amphitheater,amphitheater,amphitheater,amputate,unknown
analize,analyze,analyze,analyze,analyse,read
analyist,analyst,analyst,analyst,analyst,[UNK]
analyse,analyze,analyze,analyse,analyse,correct
anarkistic,anarchistic,anarchistic,anarkistic,anarchistic,unknown
ancestoral,ancestral,ancestral,ancestral,ancestral,:
ancilliary,ancillary,ancillary,ancilliary,ancillary,[UNK]
aneeling,annealing,kneeling,kneeling,kneeling,[UNK]
animonee,anemone,anemone,animonee,anemone,here
angshus,anxious,angst's,angshus,Angus,[UNK]
angziety,anxiety,anxiety,anxiety,anxiety,[UNK]
anialate,annihilate,animate,animate,animate,[UNK]
anjanew,ingenue,,anjanew,Agnew,[UNK]
annaversery,anniversary,anniversary,anniversary,anniversary,anna
annonomus,anonymous,,annonomus,anonymous,unknown
annoyence,annoyance,annoyance,annoyance,annoyance,[UNK]
anonimus,anonymous,anonymous,anonymous,anonymous,unknown
anomolous,anomalous,anomalous,anomolous,anomalous,correct
anomolee,anomaly,,anomolee,anomaly,[UNK]
anoyed,annoyed,annoyed,annoyed,annoyed,[UNK]
anphibian,amphibian,amphibian,anphibian,amphibian,[UNK]
ansamble,ensemble,assemble,assemble,ensemble,unknown
ansester,ancestor,ancestor,ancestor,ancestor,:
antecedant,antecedent,antecedent,antecedent,antecedent,correct
anticdote,anecdote,antidote,anecdote,antidote,[UNK]
antripanewer,entrepreneur,,antripanewer,atropine,[UNK]
anull,annul,null,null,null,a
anurism,aneurysm,aneurism,aneurysm,aneurysm,[UNK]
anwee,ennui,answer,agwee,an wee,a
aparantly,apparently,apparently,apparently,apparently,here
aparatus,apparatus,apparatus,apparatus,apparatus,latin
apartide,apartheid,partied,partite,apatite,used
appature,aperture,aperture,aperture,aperture,[UNK]
apauled,appalled,hauled,paused,appalled,omitted
apihelion,aphelion,aphelion,apihelion,aphelion,r
aplikay,appliqué,palikar,aplikay,apelike,[UNK]
apocraful,apocryphal,,apocraful,apocryphal,latin
apollstree,upholstery,,apollstree,pollster,unknown
apologise,apologize,apologize,apologise,apologise,[UNK]
apologised,apologized,apologized,apologise,apologised,omitted
apyoon,uppugn,spoon,spoon,apron,[UNK]
apostrafy,apostrophe,apostasy,apostrafy,apostasy,[UNK]
appart,apart,apart,apart,apart,[UNK]
appathetic,apathetic,apathetic,apathetic,apathetic,correct
appology,apology,apology,apology,apology,[UNK]
apresheation,appreciation,,apresheation,appreciation,[UNK]
aqueus,aqueous,aqueous,aqueous,aqueous,latin
aquiess,acquiesce,quiets,aquiess,aquas,[UNK]
aquit,acquit,quit,quit,acquit,english
aracnid,arachnid,arachnid,aracnid,arachnid,r
archeology,archaeology,archeology,archeology,archaeology,archaeology
architectual,architectural,architectural,architectural,architectural,architect
ardvark,aardvark,aardvark,ardvark,aardvark,r
areal,aerial,areal,area,areal,r
arguement,argument,argument,argument,argument,[UNK]
arithmatic,arithmetic,arithmetic,arithmetic,arithmetic,omitted
armagedon,armageddon,,armagedon,Armageddon,unknown
armistis,armistice,artists,armistice,armistice,r
armorment,armament,armament,armorment,armament,armor
aroara,aurora,aboard,roar,Aurora,[UNK]
arro,arrow,arrow,arrow,arrow,r
arsnic,arsenic,arsenic,arsenic,arsenic,used
artic,arctic,attic,attic,Attic,art
aspestus,asbestos,aspects,aspects,aspects,latin
assemalate,assimilate,assimilate,assimilate,assimilate,[UNK]
assfalt,asphalt,assault,assault,asphalt,alt
assimtote,asymptote,,assimtote,assimilate,[UNK]
assma,asthma,ass,assume,Assam,[UNK]
assymetric,asymmetric,asymmetric,assymetric,asymmetric,[UNK]
astarisk,asterisk,asterisk,asterisk,asterisk,[UNK]
astrix,asterisk,strip,austria,asterisk,[UNK]
astroid,asteroid,astroid,mastoid,asteroid,[UNK]
asumtotic,asymptotic,asymptotic,asumtotic,asymptotic,used
aswage,assuage,swage,passage,as wage,[UNK]
ate,eight,ate,ate,ate,eat
aterny,attorney,artery,artery,Attn,[UNK]
austair,austere,sustain,austria,astir,unknown
austeer,austere,austere,austere,austere,unknown
austensibly,ostensibly,ostensibly,ostensibly,ostensibly,correct
autotorium,auditorium,auditorium,autotorium,auditorium,dead
autum,autumn,autumn,autumn,Autumn,latin
auxilary,auxiliary,auxiliary,axillary,auxiliary,unknown
auxillary,auxiliary,auxiliary,axillary,auxiliary,[UNK]
avacado,avocado,avocado,avacado,avocado,[UNK]
azma,asthma,agma,alma,AMA,az
azmith,azimuth,admit,admit,azimuth,here
bachler,bachelor,bachelor,bachelor,bachelor,bach
backaloriette,baccalaureate,,backaloriette,baccalaureate,:
badmitten,badminton,admitted,admitted,bad mitten,bad
balaster,baluster,blaster,balashev,blaster,blank
balona,bologna,along,along,baling,[UNK]
balony,baloney,balcony,balcony,baloney,unknown
bangquit,banquet,banquet,banquet,bang quit,[UNK]
bankrupcy,bankruptcy,bankruptcy,bankruptcy,bankruptcy,bank
bannet,bayonet,banned,banner,banner,[UNK]
baray,beret,bray,karay,Bray,[UNK]
bargin,bargain,bargain,margin,bargain,[UNK]
baroke,baroque,broke,broke,broke,[UNK]
batchleur,bachelor,,batchleur,bachelor,[UNK]
bayge,beige,badge,badge,badge,[UNK]
bayliwick,bailiwick,bailiwick,bayliwick,bailiwick,unknown
bazare,bazaar,bazar,bare,bizarre,[UNK]
bazare,bizarre,bazar,bare,bizarre,[UNK]
bazerk,berserk,bark,baker,bark,[UNK]
beastiary,bestiary,bestiary,beastiary,bestiary,beast
beauquet,bouquet,banquet,beausset,bouquet,c
beauracratic,bureaucratic,,beauracratic,bureaucratic,c
becuz,because,begun,begun,becks,[UNK]
behavoral,behavioral,behavioral,behavoral,behavioural,[UNK]
behaviour,behavior,behavior,behaviour,behaviour,behaviour
behavour,behavior,behavior,behaviour,behaviour,[UNK]
beleave,believe,bereave,leave,believe,[UNK]
belye,belie,belle,belle,belie,[UNK]
benge,binge,beige,bence,beige,e
benifit,benefit,benefit,benefit,benefit,ben
benine,benign,benin,being,Bennie,benin
benj,binge,bend,bent,Ben,j
bilt,built,bit,bill,bolt,[UNK]
biscut,biscuit,biscuit,biscuit,biscuit,missing
bivouacing,bivouacking,bivouacking,bivouacking,bivouacking,[UNK]
bivwack,bivouac,bipack,bivwack,bivouac,[UNK]
biyou,bayou,bayou,bijou,bayou,[UNK]
bizness,business,bigness,witness,bigness,[UNK]
blosum,blossom,bloom,bosom,blossom,b
boganveelia,bougainvillea,,boganveelia,bougainvillea,[UNK]
booda,Buddha,good,good,booed,boo
booe,buoy,book,bone,boor,boo
