Misspelling,RealWord
Austrailia,Australia
Carribean,Caribbean
Checkoslovakia,Czechoslovakia
Conneticut,Connecticut
Euclidian,Euclidean
Febewary,February
Kwanza,Kwanzaa
Parmisian,Parmesan
Presbaterian,Presbyterian
Tootonic,Teutonic
Tusday,Tuesday
Wendsday,Wednesday
Wisconson,Wisconsin
abanden,abandon
abiss,abyss
abizmal,abysmal
abriviate,abbreviate
abscound,abscond
absorbant,absorbent
absorbtion,absorption
abstanence,abstinence
abundence,abundance
abundent,abundant
acatemy,academy
acceptence,acceptance
acceptible,acceptable
acceptibly,acceptably
accessable,accessible
accessment,assessment
accidently,accidentally
accomadate,accommodate
accomodate,accommodate
accross,across
accually,actually
acheeve,achieve
acknowledgement,acknowledgment
acommodate,accommodate
acoostic,acoustic
acordian,accordion
acqueus,aqueous
acquiess,acquiesce
acrost,across
acryllic,acrylic
acter,actor
adament,adamant
adaquit,adequate
adew,adieu
adheasive,adhesive
adjacancy,adjacency
adjasant,adjacent
adjatate,agitate
adjative,adjective
adolecent,adolescent
adventagous,advantageous
advesary,adversary
afficianado,aficionado
afterwords,afterwards
aggenst,against
aggrivate,aggravate
agrandize,aggrandize
agressive,aggressive
ahmond,almond
air,heir
airloom,heirloom
airator,aerator
airial,aerial
ajative,adjective
ajurnment,adjournment
ajustment,adjustment
ake,ache
alcemy,alchemy
alegance,allegiance
aleged,alleged
algee,algae
aline,align
alledge,allege
allegence,allegiance
allowence,allowance
allready,already
allright,allright
amalgum,amalgam
amatuer,amateur
amatur,amateur
ambadexterous,ambidextrous
amealearate,ameliorate
ameba,amoeba
ampatheater,amphitheater
analize,analyze
analyist,analyst
analyse,analyze
anarkistic,anarchistic
ancestoral,ancestral
ancilliary,ancillary
aneeling,annealing
animonee,anemone
angshus,anxious
angziety,anxiety
anialate,annihilate
anjanew,ingenue
annaversery,anniversary
annonomus,anonymous
annoyence,annoyance
anonimus,anonymous
anomolous,anomalous
anomolee,anomaly
anoyed,annoyed
anphibian,amphibian
ansamble,ensemble
ansester,ancestor
antecedant,antecedent
anticdote,anecdote
antripanewer,entrepreneur
anull,annul
anurism,aneurysm
anwee,ennui
aparantly,apparently
aparatus,apparatus
apartide,apartheid
appature,aperture
apauled,appalled
apihelion,aphelion
aplikay,appliqué
apocraful,apocryphal
apollstree,upholstery
apologise,apologize
apologised,apologized
apyoon,uppugn
apostrafy,apostrophe
appart,apart
appathetic,apathetic
appology,apology
apresheation,appreciation
aqueus,aqueous
aquiess,acquiesce
aquit,acquit
aracnid,arachnid
archeology,archaeology
architectual,architectural
ardvark,aardvark
areal,aerial
arguement,argument
arithmatic,arithmetic
armagedon,armageddon
armistis,armistice
armorment,armament
aroara,aurora
arro,arrow
arsnic,arsenic
artic,arctic
aspestus,asbestos
assemalate,assimilate
assfalt,asphalt
assimtote,asymptote
assma,asthma
assymetric,asymmetric
astarisk,asterisk
astrix,asterisk
astroid,asteroid
asumtotic,asymptotic
aswage,assuage
ate,eight
aterny,attorney
austair,austere
austeer,austere
austensibly,ostensibly
autotorium,auditorium
autum,autumn
auxilary,auxiliary
auxillary,auxiliary
avacado,avocado
azma,asthma
azmith,azimuth
bachler,bachelor
backaloriette,baccalaureate
badmitten,badminton
balaster,baluster
balona,bologna
balony,baloney
bangquit,banquet
bankrupcy,bankruptcy
bannet,bayonet
baray,beret
bargin,bargain
baroke,baroque
batchleur,bachelor
bayge,beige
bayliwick,bailiwick
bazare,bazaar
bazare,bizarre
bazerk,berserk
beastiary,bestiary
beauquet,bouquet
beauracratic,bureaucratic
becuz,because
behavoral,behavioral
behaviour,behavior
behavour,behavior
beleave,believe
belye,belie
benge,binge
benifit,benefit
benine,benign
benj,binge
bilt,built
biscut,biscuit
bivouacing,bivouacking
bivwack,bivouac
biyou,bayou
bizness,business
blosum,blossom
boganveelia,bougainvillea
booda,Buddha
booe,buoy
boofay,buffet
boorjwazee,bourgeoisie
booteek,boutique
boquet,bouquet
borgwasy,bourgeoisie
boundry,boundary
bouy,buoy
bowkay,bouquet
boyant,buoyant
boycot,boycott
brazeer,brassiere
breef,brief
brocher,brochure
brocolee,broccoli
broge,brogue
brooz,bruise
bruse,bruise
brusk,brusque
buda,Buddha
bullevard,boulevard
bullyan,bouillon
bunji,bungee
burbon,bourbon
burjun,burgeon
buro,bureau
burzwah,bourgeois
busness,business
butiful,beautiful
byast,biased
bycicle,bicycle
cabnet,cabinet
cachup,catchup
cockateel,cockatiel
cacoon,cocoon
caese,cease
caf,calf
cafay,cafe
cafine,caffeine
caldesack,cul-de-sac
calfes,calves
calfs,calves
